Front,Back
der / die / das,"the, that, those, who"
und,and
sein,to be
in,in / im (in the) 
ein ,"a, an, one"
zu,"to, at, too"
haben,to have
ich,I
werden,to become
sie,"She, her. they, them, you"
von,"from, of"
nicht,not
mit,with
es,it
sich,self
auch,"also, too"
auf,"on, at, in"
für ,for
an,"at, on"
er,he
so,"so, thus, this way, such"
dass,that
können ,"can, to be able"
dies,this. That
als,"as, when, than"
ihr,"you, her, her, their, hers, theirs, your"
ja,yes
wie,"how, as"
bei,"by, with, at"
oder,or
wir,we
aber,but
dann,then
man,"one, you"
da,"there, because"
sein,"his, its"
noch,"still, yet"
nach,"after, toward"
was,what
also,"so, therefore"
aus ,"out, out of, from"
all,all
wenn,"if, when"
nur,only
müssen ,"to have to, must"
sagen,to say
um,"around, at"
über ,"above, over, about"
machen,"to do, make"
kein,"no, not a/an"
Jahr,year
du,you
mein,my
schon,already
vor,"in front of. Before, ago"
durch,through
geben,to give
mehr,more
"andere, anderer, anderes",other
viel,"much, a lot, many"
kommen,to come
jetzt,now
sollen,"should, ought to"
mir,me
wollen,to want
mich,me
ganz,"whole, all the"
immer,always
gehen,to go
sehr,very
hier,here
doch,"however, still"
bis,until
groß ,"big, large"
wieder,again
Mal / mal,time / times(math)
zwei,two
gut,good
wissen,to know
neu,new
sehen,to see
lassen,"to let, allow, have"
uns,us
weil,because
unter,under
denn,because
stehen,to stand
"jede, jeder, jedes","every, each"
Beispiel,example
Zeit,"die, time"
"erste, erster, erstes",first
ihm,"him, it"
ihn,him
wo,where
lang / lange,long / for a long time
eigentilch,"actually, real"
damit,"with it, so that"
"selbst, selber",self / even
unser,our
oben,"above, up there"
